2022-05-19 13:05:325 INFO  NewAndUsedCarPage :43 - Select car makes :Kia
2022-05-19 13:05:430 INFO  NewAndUsedCarPage :48 - Select car models :Sportage
2022-05-19 13:05:526 INFO  NewAndUsedCarPage :54 - Select car locations :NT - North
2022-05-19 13:05:619 INFO  NewAndUsedCarPage :59 - Select car price :$35,000
2022-05-19 13:05:318 INFO  NewAndUsedCarPage :64 - Clicking on find my next car tab :[[ChromeDriver: chrome on WINDOWS (22d514c7ddf1a19741ed90763f3a4e60)] -> xpath: //input[@id='search-submit']]
2022-05-19 13:05:607 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 13:05:516 INFO  HomePage :29 - MouseHover ON buy+sell tab :[[ChromeDriver: chrome on WINDOWS (0d227ce2499473370839e0111cf7f9b6)] -> xpath: //a[@data-gtm-label='top nav car buy and sell']]
2022-05-19 13:05:505 INFO  HomePage :34 - Clicking on search car :[[ChromeDriver: chrome on WINDOWS (0d227ce2499473370839e0111cf7f9b6)] -> xpath: //a[@data-gtm-label='sub nav search cars']]
2022-05-19 13:05:526 INFO  NewAndUsedCarPage :38 - Get new and used car text :[[ChromeDriver: chrome on WINDOWS (0d227ce2499473370839e0111cf7f9b6)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-19 13:05:656 INFO  NewAndUsedCarPage :43 - Select car makes :Nissan
2022-05-19 13:05:900 INFO  NewAndUsedCarPage :48 - Select car models :X-TRAIL
2022-05-19 13:05:218 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 13:05:219 INFO  HomePage :29 - MouseHover ON buy+sell tab :[[ChromeDriver: chrome on WINDOWS (2f42792f6324d5541f9f4c829c950321)] -> xpath: //a[@data-gtm-label='top nav car buy and sell']]
2022-05-19 13:05:197 INFO  HomePage :34 - Clicking on search car :[[ChromeDriver: chrome on WINDOWS (2f42792f6324d5541f9f4c829c950321)] -> xpath: //a[@data-gtm-label='sub nav search cars']]
2022-05-19 13:05:222 INFO  NewAndUsedCarPage :38 - Get new and used car text :[[ChromeDriver: chrome on WINDOWS (2f42792f6324d5541f9f4c829c950321)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-19 13:05:572 INFO  NewAndUsedCarPage :43 - Select car makes :Jaguar
2022-05-19 13:05:683 INFO  NewAndUsedCarPage :48 - Select car models :X Type
2022-05-19 13:05:788 INFO  NewAndUsedCarPage :54 - Select car locations :NSW - Hunter
2022-05-19 13:05:883 INFO  NewAndUsedCarPage :59 - Select car price :$60,000
2022-05-19 13:05:913 INFO  NewAndUsedCarPage :64 - Clicking on find my next car tab :[[ChromeDriver: chrome on WINDOWS (2f42792f6324d5541f9f4c829c950321)] -> xpath: //input[@id='search-submit']]
2022-05-19 13:05:948 INFO  ResultPage :21 - Get result text :JAGUAR
2022-05-19 13:05:229 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 13:05:579 INFO  HomePage :29 - MouseHover ON buy+sell tab :[[ChromeDriver: chrome on WINDOWS (ca86edce1ef9eb92493d03f98aa567f2)] -> xpath: //a[@data-gtm-label='top nav car buy and sell']]
2022-05-19 13:05:591 INFO  HomePage :34 - Clicking on search car :[[ChromeDriver: chrome on WINDOWS (ca86edce1ef9eb92493d03f98aa567f2)] -> xpath: //a[@data-gtm-label='sub nav search cars']]
2022-05-19 13:05:610 INFO  NewAndUsedCarPage :38 - Get new and used car text :[[ChromeDriver: chrome on WINDOWS (ca86edce1ef9eb92493d03f98aa567f2)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-19 13:05:957 INFO  NewAndUsedCarPage :43 - Select car makes :Mini
2022-05-19 13:05:437 INFO  NewAndUsedCarPage :48 - Select car models :Cooper
2022-05-19 13:05:556 INFO  NewAndUsedCarPage :54 - Select car locations :QLD - All
2022-05-19 13:05:653 INFO  NewAndUsedCarPage :59 - Select car price :$70,000
2022-05-19 13:05:673 INFO  NewAndUsedCarPage :64 - Clicking on find my next car tab :[[ChromeDriver: chrome on WINDOWS (ca86edce1ef9eb92493d03f98aa567f2)] -> xpath: //input[@id='search-submit']]
2022-05-19 13:05:790 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 13:05:526 INFO  HomePage :29 - MouseHover ON buy+sell tab :[[ChromeDriver: chrome on WINDOWS (2a3f40848b5c37442ad20c42524d2d3b)] -> xpath: //a[@data-gtm-label='top nav car buy and sell']]
2022-05-19 13:05:440 INFO  HomePage :34 - Clicking on search car :[[ChromeDriver: chrome on WINDOWS (2a3f40848b5c37442ad20c42524d2d3b)] -> xpath: //a[@data-gtm-label='sub nav search cars']]
2022-05-19 13:05:466 INFO  NewAndUsedCarPage :38 - Get new and used car text :[[ChromeDriver: chrome on WINDOWS (2a3f40848b5c37442ad20c42524d2d3b)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-19 13:05:605 INFO  NewAndUsedCarPage :43 - Select car makes :Audi
2022-05-19 13:05:844 INFO  NewAndUsedCarPage :48 - Select car models :A1
2022-05-19 13:05:962 INFO  NewAndUsedCarPage :54 - Select car locations :NSW - Central Coast
2022-05-19 13:05:78 INFO  NewAndUsedCarPage :59 - Select car price :$45,000
2022-05-19 13:05:988 INFO  NewAndUsedCarPage :64 - Clicking on find my next car tab :[[ChromeDriver: chrome on WINDOWS (2a3f40848b5c37442ad20c42524d2d3b)] -> xpath: //input[@id='search-submit']]
2022-05-19 13:05:134 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 13:05:848 INFO  HomePage :29 - MouseHover ON buy+sell tab :[[ChromeDriver: chrome on WINDOWS (5f5f96802796a7c6fc43495aa752a0c3)] -> xpath: //a[@data-gtm-label='top nav car buy and sell']]
